id_proveedor,nombre_empresa,tipo_empresa,ciudad,representante,estado
P132,León-López Group,Consultoría,Medellín,Camila Nelcy Tovar Torres,Activo
P133,"Torres, Gómez and Escobar Group",Transporte,Barranquilla,Martha Jiménez Pineda,Activo
P134,Cabrera LLC PLC,Consultoría,Cartagena,Anderson Salgado Hernández,Activo
P135,Lozano-Prieto Ltd,Servicios,Cartagena,Andrés Medina,Activo
P136,"Jaramillo, Duarte and Valderrama PLC",Proveedor insumos,Barranquilla,Melissa Ruiz Naranjo,Activo
P137,"Patiño, Cuéllar and Escobar Ltd",Distribuidor,Cali,Martha Murcia,Activo
P138,"Rivera, Salas and Espinosa and Sons",Servicios,Medellín,Patricia Sandra Muñoz Gómez,Activo
P139,Arroyo Group LLC,Transporte,Barranquilla,Álvaro Castillo Guzmán,Activo
P140,Carmona-Hernández PLC,Consultoría,Bogotá,Karol Ramírez Acosta,Inactivo
P141,Rodríguez Ltd Group,Proveedor insumos,Bogotá,Luz Ramírez Sánchez,Activo
P142,Bautista LLC LLC,Servicios,Valledupar,Alberto Palacios,Activo
P143,"Quintero, Erazo and Mesa Ltd",Transporte,Cali,Ciro Carlos Ávila,Activo
P144,Ávila PLC Inc,Distribuidor,Cartagena,Alonso José Riascos,Activo
P145,Barrios LLC Group,Distribuidor,Cali,Carlos Jaime Delgado,Inactivo
P146,"Rico, Buitrago and Pardo Inc",Proveedor insumos,Medellín,Ruby Milena Corredor Vargas,Activo
P147,Pardo Group and Sons,Distribuidor,Valledupar,Miguel Edward Guerra,Activo
P148,"Ortiz, Figueroa and Guerrero PLC",Consultoría,Valledupar,Alejandra Cifuentes,Activo
P149,Salazar-Jaramillo and Sons,Servicios,Medellín,Rosa Sandra Ortiz Guzmán,Activo
P150,"Moreno, Soto and Guerrero and Sons",Proveedor insumos,Valledupar,Marta Sarmiento Silva,Activo
P151,Martínez PLC Group,Distribuidor,Cartagena,Carmen Chaparro Cabrera,Activo
P152,"Guzmán, Ortiz and Hernández Group",Distribuidor,Medellín,Alex Rincón,Activo
P153,García Ltd Inc,Transporte,Barranquilla,Vanessa Mayra Hoyos,Activo
P154,Ayala-Guevara Inc,Consultoría,Barranquilla,Johana Martínez Pérez,Activo
P155,Ceballos-Mora Ltd,Proveedor insumos,Bogotá,Margoth Orozco Sánchez,Activo
P156,Díaz Group LLC,Proveedor insumos,Barranquilla,Amalia Nubia Gallego,Activo
P157,Flórez Group PLC,Consultoría,Cali,Guillermo César Bernal,Activo
P158,Blanco-González Ltd,Transporte,Bogotá,Miguel Carlos Uribe Rodríguez,Inactivo
P159,"Gómez, Patiño and Zapata Group",Servicios,Valledupar,Mariana Andrea Cortés,Activo
P160,Campo-Jiménez Ltd,Servicios,Barranquilla,Stella Ríos,Activo
P161,Rodríguez Ltd LLC,Distribuidor,Bogotá,Juan Orozco,Inactivo
P162,"Soto, Jaramillo and Ramírez PLC",Consultoría,Bogotá,Gladis Galvis Uribe,Activo
P163,"López, Gómez and Rodríguez Inc",Transporte,Bogotá,Luis Castillo,Activo
P164,"Gómez, Caicedo and Jaimes Ltd",Servicios,Bogotá,Estella Esperanza Ortega Pérez,Activo
P165,"Hoyos, Mosquera and Rodríguez LLC",Consultoría,Medellín,Marly Galindo Mosquera,Activo
P166,Rojas Ltd Inc,Servicios,Valledupar,Miriam Hernández Sánchez,Activo
P167,Zambrano Group Group,Servicios,Cartagena,Ana Rodríguez,Inactivo
P168,Velasco-Hernández LLC,Consultoría,Medellín,Jhon Fabián Pérez Correa,Activo
P169,Prada-Zapata Ltd,Consultoría,Medellín,Augusto Rojas,Activo
P170,"Ruiz, Benavides and García and Sons",Transporte,Cartagena,Rocío María Vargas,Activo
P171,"Valencia, Romero and Moreno Inc",Transporte,Barranquilla,Ricardo Marino Duarte,Activo
P172,Ortiz Inc Ltd,Servicios,Barranquilla,María Correa Valencia,Activo
P173,Rojas PLC Inc,Proveedor insumos,Barranquilla,Jorge Miguel López Gómez,Activo
P174,"Espitia, Ortiz and Uribe LLC",Transporte,Valledupar,Carolina Carolina Salazar,Activo
P175,"Morales, Acosta and Granados Inc",Proveedor insumos,Bogotá,Emiro Quintero,Activo
P176,García LLC and Sons,Transporte,Cartagena,Viviana Pérez Valderrama,Activo
P177,"Suárez, Mejía and Castro and Sons",Distribuidor,Valledupar,Esther Rodríguez,Activo
P178,Moreno Group PLC,Transporte,Barranquilla,Olga Sierra Rentería,Activo
P179,Velásquez-Ávila LLC,Servicios,Barranquilla,Gerardo Manuel Vera,Activo
P180,Vanegas-Durán PLC,Consultoría,Bogotá,Guillermo Eliecer Henao,Activo
P181,Ríos PLC Inc,Proveedor insumos,Cali,Guillermo Rodríguez,Activo
P182,"Arévalo, Vargas and Sarmiento Group",Consultoría,Medellín,Adriana Sandra Bastidas,Inactivo
P183,"Pérez, Parada and Salazar Ltd",Transporte,Cartagena,Betty María Herrera Zapata,Activo
P184,Benavides PLC Inc,Consultoría,Cali,Angélica Graciela Flórez,Activo
P185,Muñoz-Mosquera Group,Distribuidor,Cartagena,Víctor Moreno Miranda,Activo
P186,Calderón LLC Inc,Distribuidor,Medellín,Alberto Mora Carrillo,Activo
P187,"Cortés, López and Rodríguez Group",Servicios,Medellín,Cristina Lizeth Patiño,Activo
P188,"Soto, Blanco and Jaimes Ltd",Transporte,Barranquilla,Rocío Gómez,Activo
P189,"Franco, Blanco and Herrera Group",Consultoría,Cartagena,Fernando Sánchez Rodríguez,Activo
P190,Rojas and Sons Inc,Proveedor insumos,Cartagena,Ana Margarita Cardozo,Activo
P191,"Rosero, Lozano and Cardona and Sons",Transporte,Cartagena,María Arrieta Domínguez,Activo
P192,"Ortiz, Álvarez and Castro PLC",Transporte,Barranquilla,Eduardo Salgado,Activo
P193,Suárez-Muñoz and Sons,Transporte,Medellín,Jonathan Rolando Gómez,Inactivo
P194,López Ltd and Sons,Distribuidor,Medellín,René Naranjo,Activo
P195,Toro-Mendoza LLC,Consultoría,Barranquilla,Luz Saavedra Rivas,Activo
P196,"Quintero, Mosquera and Sánchez Inc",Proveedor insumos,Bogotá,Alba Franco,Activo
P197,"Hurtado, Sepúlveda and Díaz Group",Proveedor insumos,Medellín,Liliana Lilia Díaz,Activo
P198,Servicios Integrales de Papel SAS,Servicios,Desconocida,,Activo
P199,Inversiones A&B,Consultoría,Bogotá,N/A,Activo
P200,Logística Rápida Ficticia,Transporte,Cali,,Activo
