id_transaccion,fecha,id_empleado,id_proveedor,monto,concepto,tipo_pago,estado
T0027,2024-10-19,E049,P200,4869069,Consultoría de procesos,Cheque,Pagado
T0028,2025-10-29,E041,P198,23388607,Consultoría de procesos,Efectivo,Pagado
T0029,2024-08-18,E020,P198,12820045,Consultoría de procesos,Cheque,Pagado
T0030,2024-12-08,E036,P198,9181413,Consultoría de procesos,Cheque,Pagado
T0031,2025-09-01,E080,P199,19031715,Servicios técnicos,Efectivo,Pagado
T0032,2024-12-22,E027,P200,6178388,Consultoría de procesos,Efectivo,Pagado
T0033,2024-10-10,E002,P198,14862307,Consultoría de procesos,Efectivo,Pagado
T0034,2025-07-17,E060,P200,10205590,Consultoría de procesos,Cheque,Pagado
T0035,2024-01-24,E066,P199,10647073,Servicios técnicos,Cheque,Pagado
T0036,2025-01-14,E023,P200,10192177,Consultoría de procesos,Efectivo,Pagado
T0037,2024-06-01,E026,P199,23812585,Servicios técnicos,Efectivo,Pagado
T0038,2025-12-25,E069,P198,14755974,Consultoría de procesos,Efectivo,Pagado
T0039,2025-06-16,E008,P200,4019985,Consultoría de procesos,Cheque,Pagado
T0040,2025-10-28,E074,P200,1501385,Consultoría de procesos,Efectivo,Pagado
T0041,2025-02-17,E001,P199,12647987,Servicios técnicos,Efectivo,Pagado
T0042,2024-02-29,E076,P198,10875940,Consultoría de procesos,Efectivo,Pagado
T0043,2024-09-02,E003,P200,709778,Consultoría de procesos,Cheque,Pagado
T0044,2025-02-28,E049,P200,9192577,Consultoría de procesos,Efectivo,Pagado
T0045,2025-10-24,E062,P199,24344407,Servicios técnicos,Efectivo,Pagado
T0046,2024-07-17,E028,P198,5238797,Consultoría de procesos,Efectivo,Pagado
T0047,2024-12-18,E061,P198,18111308,Consultoría de procesos,Cheque,Pagado
T0048,2025-10-22,E024,P200,21743151,Consultoría de procesos,Efectivo,Pagado
T0049,2024-05-17,E008,P199,8913534,Servicios técnicos,Efectivo,Pagado
T0050,2024-12-01,E037,P198,9787232,Consultoría de procesos,Efectivo,Pagado
T0051,2024-02-21,E065,P199,5160254,Servicios técnicos,Cheque,Pagado
T0052,2024-01-08,E017,P200,21285166,Consultoría de procesos,Efectivo,Pagado
T0053,2024-10-16,E018,P171,27841877,Compra de kits quirúrgicos,Transferencia,Aprobado
T0054,2024-10-19,E018,P171,27841877,REFACTURA: Compra de kits quirúrgicos,Transferencia,Aprobado
T0055,2025-09-29,E073,P052,23825304,Compra de kits quirúrgicos,Transferencia,Aprobado
T0056,2024-07-08,E015,P168,34113766,Suministro de medicamentos,Transferencia,Aprobado
T0057,2024-03-15,E042,P086,35028451,Mantenimiento de equipos,Transferencia,Aprobado
T0058,2025-03-04,E033,P188,5589498,Dotación hospitalaria,Transferencia,Aprobado
T0059,2024-11-08,E039,P153,22556224,Dotación hospitalaria,Transferencia,Aprobado
T0060,2025-01-15,E035,P085,36572247,Mantenimiento de equipos,Transferencia,Aprobado
T0061,2025-01-02,E075,P164,32471113,Dotación hospitalaria,Transferencia,Aprobado
T0062,2024-10-04,E078,P039,207615975,Compra de kits quirúrgicos,Transferencia,En Revisión
T0063,2024-02-02,E066,P017,44887205,Dotación hospitalaria,Transferencia,Aprobado
T0064,2025-10-15,E011,P168,6477918,Dotación hospitalaria,Transferencia,Aprobado
T0065,2025-04-21,E053,P017,22105557,Mantenimiento de equipos,Transferencia,Aprobado
T0066,2024-12-18,E035,P124,27693335,Suministro de medicamentos,Transferencia,Aprobado
T0067,2024-09-29,E012,P174,16087507,Mantenimiento de equipos,Transferencia,Aprobado
T0068,2024-07-12,E004,P162,24368905,Dotación hospitalaria,Transferencia,Aprobado
T0069,2024-01-26,E005,P039,14624048,Suministro de medicamentos,Transferencia,Aprobado
T0070,2025-12-28,E057,P091,17341233,Mantenimiento de equipos,Transferencia,Aprobado
T0071,2025-06-16,E054,P136,35810738,Dotación hospitalaria,Transferencia,Aprobado
T0072,2025-06-09,E019,P176,6116430,Suministro de medicamentos,Transferencia,Aprobado
T0073,2025-12-22,E066,P107,14946688,Compra de kits quirúrgicos,Transferencia,Aprobado
T0074,2025-02-20,E054,P106,30514328,Suministro de medicamentos,Transferencia,Aprobado
T0075,2024-03-29,E041,P018,18134743,Dotación hospitalaria,Transferencia,Aprobado
T0076,2025-07-30,E046,P045,34681479,Mantenimiento de equipos,Transferencia,Aprobado
T0077,2025-10-04,E003,P047,15739501,Dotación hospitalaria,Transferencia,Aprobado
T0078,2024-09-30,E078,P082,33956174,Dotación hospitalaria,Transferencia,Aprobado
T0079,2025-10-29,E022,P118,31069854,Compra de kits quirúrgicos,Transferencia,Aprobado
T0080,2025-11-07,E003,P078,32137657,Suministro de medicamentos,Transferencia,Aprobado
T0081,2025-10-19,E011,P155,18342202,Compra de kits quirúrgicos,Transferencia,Aprobado
T0082,2024-11-05,E072,P154,44195419,Mantenimiento de equipos,Transferencia,Aprobado
T0083,2024-09-14,E062,P137,11029540,Dotación hospitalaria,Transferencia,Aprobado
T0084,2024-08-18,E047,P096,30577283,Suministro de medicamentos,Transferencia,Aprobado
T0085,2024-06-03,E006,P172,15830553,Mantenimiento de equipos,Transferencia,Aprobado
T0086,2025-09-11,E028,P072,13631150,Mantenimiento de equipos,Transferencia,Aprobado
T0087,2025-04-22,E063,P082,106649907,Dotación hospitalaria,Transferencia,En Revisión
T0088,2025-11-08,E014,P040,20264234,Dotación hospitalaria,Transferencia,Aprobado
T0089,2024-02-04,E046,P173,8800244,Suministro de medicamentos,Transferencia,Aprobado
T0090,2024-08-22,E037,P030,26507889,Mantenimiento de equipos,Transferencia,Aprobado
T0091,2025-02-18,E044,P064,8566790,Compra de kits quirúrgicos,Transferencia,Aprobado
T0092,2024-11-17,E033,P086,26738369,Compra de kits quirúrgicos,Transferencia,Aprobado
T0093,2025-12-05,E046,P051,13689778,Dotación hospitalaria,Transferencia,Aprobado
T0094,2025-01-23,E035,P026,37060263,Suministro de medicamentos,Transferencia,Aprobado
T0095,2025-10-25,E047,P091,56920830,Dotación hospitalaria,Transferencia,En Revisión
T0096,2024-05-10,E070,P184,18669358,Compra de kits quirúrgicos,Transferencia,Aprobado
T0097,2025-06-02,E014,P086,43571626,Suministro de medicamentos,Transferencia,Aprobado
T0098,2024-03-10,E002,P143,25609343,Compra de kits quirúrgicos,Transferencia,Aprobado
T0099,2024-06-24,E058,P163,44148469,Mantenimiento de equipos,Transferencia,Aprobado
T0100,2025-08-21,E055,P116,7107001,Compra de kits quirúrgicos,Transferencia,Aprobado
T0101,2024-11-23,E030,P169,28859029,Mantenimiento de equipos,Transferencia,Aprobado
T0102,2025-03-18,E058,P071,27452483,Suministro de medicamentos,Transferencia,Aprobado
T0103,2025-11-09,E074,P166,19308924,Dotación hospitalaria,Transferencia,Aprobado
T0104,2025-11-15,E047,P107,21143069,Dotación hospitalaria,Transferencia,Aprobado
T0105,2025-12-25,E047,P061,10652230,Suministro de medicamentos,Transferencia,Aprobado
T0106,2025-04-05,E074,P109,38614106,Compra de kits quirúrgicos,Transferencia,Aprobado
T0107,2025-04-28,E052,P052,41941395,Dotación hospitalaria,Transferencia,Aprobado
T0108,2024-09-22,E074,P067,214530440,Dotación hospitalaria,Transferencia,En Revisión
T0109,2025-05-15,E066,P028,25302105,Suministro de medicamentos,Transferencia,Aprobado
T0110,2024-10-08,E032,P115,33048197,Suministro de medicamentos,Transferencia,Aprobado
T0111,2024-01-20,E046,P049,14821515,Mantenimiento de equipos,Transferencia,Aprobado
T0112,2024-10-09,E050,P097,33903091,Dotación hospitalaria,Transferencia,Aprobado
T0113,2024-01-27,E048,P067,8733237,Dotación hospitalaria,Transferencia,Aprobado
T0114,2024-06-03,E056,P042,16013012,Mantenimiento de equipos,Transferencia,Aprobado
T0115,2024-06-08,E062,P186,22235214,Mantenimiento de equipos,Transferencia,Aprobado
T0116,2024-12-04,E027,P039,12180554,Compra de kits quirúrgicos,Transferencia,Aprobado
T0117,2024-09-15,E060,P160,61169526,Suministro de medicamentos,Transferencia,En Revisión
T0118,2025-11-27,E025,P123,11840622,Compra de kits quirúrgicos,Transferencia,Aprobado
T0119,2024-06-24,E022,P153,106860750,Compra de kits quirúrgicos,Transferencia,En Revisión
T0120,2024-12-13,E065,P065,36742228,Mantenimiento de equipos,Transferencia,Aprobado
T0121,2025-08-30,E065,P113,36911630,Dotación hospitalaria,Transferencia,Aprobado
T0122,2024-04-11,E011,P106,6836586,Compra de kits quirúrgicos,Transferencia,Aprobado
T0123,2024-01-23,E004,P089,34916528,Dotación hospitalaria,Transferencia,Aprobado
T0124,2025-01-29,E065,P036,26181429,Compra de kits quirúrgicos,Transferencia,Aprobado
T0125,2025-01-31,E065,P036,26181429,REFACTURA: Compra de kits quirúrgicos,Transferencia,Aprobado
T0126,2024-10-25,E017,P023,26675265,Mantenimiento de equipos,Transferencia,En Revisión
T0127,2024-10-27,E017,P023,26675265,REFACTURA: Mantenimiento de equipos,Transferencia,Aprobado
T0128,2025-01-02,E074,P141,39917341,Compra de kits quirúrgicos,Transferencia,Aprobado
T0129,2025-12-23,E077,P021,14578230,Suministro de medicamentos,Transferencia,Aprobado
T0130,2024-01-08,E014,P121,41495778,Mantenimiento de equipos,Transferencia,Aprobado
T0131,2025-10-13,E074,P130,25016124,Mantenimiento de equipos,Transferencia,Aprobado
T0132,2025-07-16,E026,P122,89658978,Compra de kits quirúrgicos,Transferencia,En Revisión
T0133,2024-08-21,E004,P138,42986548,Compra de kits quirúrgicos,Transferencia,Aprobado
T0134,2025-10-22,E007,P096,18730559,Suministro de medicamentos,Transferencia,Aprobado
T0135,2025-11-18,E021,P137,15544413,Compra de kits quirúrgicos,Transferencia,Aprobado
T0136,2025-04-12,E001,P015,129031182,Dotación hospitalaria,Transferencia,En Revisión
T0137,2025-04-14,E001,P015,129031182,REFACTURA: Dotación hospitalaria,Transferencia,Aprobado
T0138,2025-06-09,E062,P041,29767499,Dotación hospitalaria,Transferencia,Aprobado
T0139,2025-06-12,E005,P142,12190571,Dotación hospitalaria,Transferencia,Aprobado
T0140,2024-12-06,E078,P160,101153032,Mantenimiento de equipos,Transferencia,En Revisión
T0141,2024-05-07,E053,P049,35235934,Compra de kits quirúrgicos,Transferencia,Aprobado
T0142,2025-12-19,E077,P133,41784463,Mantenimiento de equipos,Transferencia,Aprobado
T0143,2025-02-22,E058,P160,13766305,Compra de kits quirúrgicos,Transferencia,Aprobado
T0144,2024-04-15,E044,P118,14153939,Mantenimiento de equipos,Transferencia,Aprobado
T0145,2025-01-07,E022,P170,5496233,Mantenimiento de equipos,Transferencia,Aprobado
T0146,2025-01-08,E022,P170,5496233,REFACTURA: Mantenimiento de equipos,Transferencia,Aprobado
T0147,2024-05-08,E057,P047,256340496,Compra de kits quirúrgicos,Transferencia,En Revisión
T0148,2024-05-11,E057,P047,256340496,REFACTURA: Compra de kits quirúrgicos,Transferencia,Aprobado
T0149,2025-04-03,E050,P020,41220578,Compra de kits quirúrgicos,Transferencia,Aprobado
T0150,2024-02-11,E059,P102,42349109,Compra de kits quirúrgicos,Transferencia,Aprobado
T0151,2024-08-17,E035,P183,34424334,Dotación hospitalaria,Transferencia,En Revisión
T0152,2024-11-07,E061,P124,42308441,Suministro de medicamentos,Transferencia,Aprobado
T0153,2024-05-18,E025,P015,20787238,Suministro de medicamentos,Transferencia,Aprobado
T0154,2025-07-02,E047,P007,11660138,Suministro de medicamentos,Transferencia,Aprobado
T0155,2025-04-13,E014,P108,211274560,Compra de kits quirúrgicos,Transferencia,En Revisión
T0156,2024-06-21,E056,P092,14562665,Compra de kits quirúrgicos,Transferencia,Aprobado
T0157,2024-06-24,E056,P092,14562665,REFACTURA: Compra de kits quirúrgicos,Transferencia,Aprobado
T0158,2025-01-27,E073,P084,43520490,Suministro de medicamentos,Transferencia,Aprobado
T0159,2024-02-17,E039,P171,34032521,Suministro de medicamentos,Transferencia,Aprobado
T0160,2025-09-30,E014,P166,29786444,Compra de kits quirúrgicos,Transferencia,Aprobado
T0161,2025-01-22,E062,P038,15447970,Compra de kits quirúrgicos,Transferencia,Aprobado
T0162,2024-05-03,E031,P165,7243820,Dotación hospitalaria,Transferencia,Aprobado
T0163,2024-12-22,E006,P069,18911819,Compra de kits quirúrgicos,Transferencia,Aprobado
T0164,2025-02-10,E001,P130,6759725,Dotación hospitalaria,Transferencia,Aprobado
T0165,2025-04-06,E020,P020,66232041,Dotación hospitalaria,Transferencia,En Revisión
T0166,2024-05-02,E056,P127,41701047,Compra de kits quirúrgicos,Transferencia,Aprobado
T0167,2025-10-09,E080,P059,12243700,Dotación hospitalaria,Transferencia,Aprobado
T0168,2025-05-11,E034,P095,16559153,Dotación hospitalaria,Transferencia,Aprobado
T0169,2025-08-10,E079,P194,6886358,Dotación hospitalaria,Transferencia,Aprobado
T0170,2025-02-28,E005,P063,23363600,Compra de kits quirúrgicos,Transferencia,Aprobado
T0171,2024-07-16,E066,P019,41947657,Suministro de medicamentos,Transferencia,Aprobado
T0172,2024-02-16,E054,P194,36270853,Mantenimiento de equipos,Transferencia,Aprobado
T0173,2025-04-15,E059,P025,23597685,Compra de kits quirúrgicos,Transferencia,Aprobado
T0174,2025-04-13,E061,P096,41848356,Compra de kits quirúrgicos,Transferencia,En Revisión
T0175,2024-10-11,E021,P004,26726213,Dotación hospitalaria,Transferencia,Aprobado
T0176,2024-12-08,E078,P163,63414638,Compra de kits quirúrgicos,Transferencia,En Revisión
T0177,2024-10-07,E017,P121,170574985,Mantenimiento de equipos,Transferencia,En Revisión
T0178,2025-07-06,E063,P194,42053087,Suministro de medicamentos,Transferencia,Aprobado
T0179,2025-12-29,E044,P101,26370668,Dotación hospitalaria,Transferencia,Aprobado
T0180,2024-08-06,E011,P080,28571000,Suministro de medicamentos,Transferencia,Aprobado
T0181,2024-02-09,E001,P070,13499747,Mantenimiento de equipos,Transferencia,Aprobado
T0182,2024-02-13,E024,P197,9826989,Mantenimiento de equipos,Transferencia,Aprobado
T0183,2024-02-16,E024,P197,9826989,REFACTURA: Mantenimiento de equipos,Transferencia,Aprobado
T0184,2025-09-09,E012,P063,31669705,Dotación hospitalaria,Transferencia,Aprobado
T0185,2024-12-06,E043,P051,32484397,Dotación hospitalaria,Transferencia,Aprobado
T0186,2025-12-08,E036,P041,10284422,Suministro de medicamentos,Transferencia,Aprobado
T0187,2024-12-24,E016,P118,34993402,Mantenimiento de equipos,Transferencia,Aprobado
T0188,2025-06-16,E060,P116,42814367,Compra de kits quirúrgicos,Transferencia,Aprobado
T0189,2025-12-05,E006,P150,8083677,Dotación hospitalaria,Transferencia,Aprobado
T0190,2025-12-05,E017,P095,11004379,Suministro de medicamentos,Transferencia,Aprobado
T0191,2024-05-11,E070,P061,34765098,Compra de kits quirúrgicos,Transferencia,Aprobado
T0192,2024-01-07,E074,P176,21485935,Mantenimiento de equipos,Transferencia,Aprobado
T0193,2025-01-01,E053,P082,12246627,Suministro de medicamentos,Transferencia,Aprobado
T0194,2025-09-11,E011,P125,11885990,Suministro de medicamentos,Transferencia,Aprobado
T0195,2024-02-22,E034,P058,7452136,Dotación hospitalaria,Transferencia,Aprobado
T0196,2025-01-23,E079,P095,23451170,Dotación hospitalaria,Transferencia,Aprobado
T0197,2024-09-17,E070,P148,204843317,Compra de kits quirúrgicos,Transferencia,En Revisión
T0198,2024-01-01,E039,P195,7280234,Suministro de medicamentos,Transferencia,Aprobado
T0199,2024-01-02,E039,P195,7280234,REFACTURA: Suministro de medicamentos,Transferencia,Aprobado
T0200,2025-11-10,E062,P003,18125387,Mantenimiento de equipos,Transferencia,Aprobado
T0201,2025-06-11,E059,P019,17849422,Mantenimiento de equipos,Transferencia,Aprobado
T0202,2024-03-10,E043,P060,8824418,Suministro de medicamentos,Transferencia,Aprobado
T0203,2024-01-12,E035,P151,27937856,Dotación hospitalaria,Transferencia,Aprobado
T0204,2025-04-29,E004,P030,30921254,Dotación hospitalaria,Transferencia,Aprobado
T0205,2025-09-18,E016,P136,43255292,Mantenimiento de equipos,Transferencia,En Revisión
T0206,2025-09-20,E016,P136,43255292,REFACTURA: Mantenimiento de equipos,Transferencia,Aprobado
T0207,2025-06-28,E069,P092,29137106,Suministro de medicamentos,Transferencia,Aprobado
T0208,2024-07-18,E005,P157,16455279,Dotación hospitalaria,Transferencia,Aprobado
T0209,2024-05-22,E025,P007,20752002,Suministro de medicamentos,Transferencia,Aprobado
T0210,2024-05-12,E011,P184,17749849,Suministro de medicamentos,Transferencia,Aprobado
T0211,2024-01-13,E068,P092,141446908,Compra de kits quirúrgicos,Transferencia,En Revisión
T0212,2025-02-24,E061,P096,45637995,Compra de kits quirúrgicos,Transferencia,En Revisión
T0213,2024-07-08,E015,P057,33488559,Suministro de medicamentos,Transferencia,Aprobado
T0214,2025-02-24,E020,P163,40325181,Mantenimiento de equipos,Transferencia,Aprobado
T0215,2024-05-26,E064,P178,41539512,Suministro de medicamentos,Transferencia,Aprobado
T0216,2024-02-17,E044,P021,22665607,Suministro de medicamentos,Transferencia,Aprobado
T0217,2025-03-11,E076,P050,69656562,Compra de kits quirúrgicos,Transferencia,En Revisión
T0218,2025-01-14,E074,P071,5635677,Suministro de medicamentos,Transferencia,Aprobado
T0219,2025-11-08,E027,P025,42654409,Mantenimiento de equipos,Transferencia,Aprobado
T0220,2024-10-03,E044,P188,26964589,Dotación hospitalaria,Transferencia,Aprobado
T0221,2024-11-27,E040,P101,183102479,Mantenimiento de equipos,Transferencia,En Revisión
T0222,2024-05-29,E056,P181,44066020,Suministro de medicamentos,Transferencia,Aprobado
T0223,2024-08-01,E053,P103,28832063,Mantenimiento de equipos,Transferencia,Aprobado
T0224,2024-11-27,E073,P057,28586184,Mantenimiento de equipos,Transferencia,Aprobado
T0225,2025-03-16,E063,P018,23340155,Compra de kits quirúrgicos,Transferencia,Aprobado
T0226,2025-09-07,E055,P020,14800239,Compra de kits quirúrgicos,Transferencia,Aprobado
T0227,2025-09-09,E055,P020,14800239,REFACTURA: Compra de kits quirúrgicos,Transferencia,Aprobado
T0228,2024-08-29,E077,P136,12853222,Dotación hospitalaria,Transferencia,Aprobado
T0229,2025-02-18,E015,P086,74294965,Suministro de medicamentos,Transferencia,En Revisión
T0230,2025-06-18,E021,P113,18734457,Suministro de medicamentos,Transferencia,Aprobado
T0231,2024-05-14,E053,P110,24647125,Suministro de medicamentos,Transferencia,Aprobado
T0232,2025-11-25,E027,P127,12864845,Mantenimiento de equipos,Transferencia,Aprobado
T0233,2024-05-30,E070,P103,17741262,Mantenimiento de equipos,Transferencia,Aprobado
T0234,2024-08-18,E055,P164,34969112,Dotación hospitalaria,Transferencia,Aprobado
T0235,2024-02-02,E011,P116,22334275,Compra de kits quirúrgicos,Transferencia,Aprobado
T0236,2025-10-15,E068,P133,20552210,Suministro de medicamentos,Transferencia,Aprobado
T0237,2024-03-17,E025,P174,43530987,Suministro de medicamentos,Transferencia,Aprobado
T0238,2025-04-14,E037,P172,8082771,Compra de kits quirúrgicos,Transferencia,Aprobado
T0239,2024-12-06,E025,P164,27783535,Mantenimiento de equipos,Transferencia,Aprobado
T0240,2024-04-01,E033,P032,34209739,Dotación hospitalaria,Transferencia,Aprobado
T0241,2025-06-08,E003,P179,12036482,Dotación hospitalaria,Transferencia,Aprobado
T0242,2025-03-27,E071,P044,14362542,Compra de kits quirúrgicos,Transferencia,Aprobado
T0243,2025-01-16,E035,P157,9616630,Compra de kits quirúrgicos,Transferencia,Aprobado
T0244,2025-03-20,E039,P100,39409620,Mantenimiento de equipos,Transferencia,Aprobado
T0245,2025-04-30,E023,P018,29112314,Mantenimiento de equipos,Transferencia,Aprobado
T0246,2025-07-31,E019,P147,33668257,Compra de kits quirúrgicos,Transferencia,Aprobado
T0247,2024-12-24,E022,P139,29738657,Compra de kits quirúrgicos,Transferencia,Aprobado
T0248,2025-07-24,E064,P026,7339744,Suministro de medicamentos,Transferencia,Aprobado
T0249,2025-11-11,E001,P115,13765884,Compra de kits quirúrgicos,Transferencia,Aprobado
T0250,2024-01-21,E043,P100,44854706,Suministro de medicamentos,Transferencia,Aprobado
T0251,2024-05-12,E064,P036,39899222,Suministro de medicamentos,Transferencia,Aprobado
T0252,2025-11-04,E037,P192,19942594,Compra de kits quirúrgicos,Transferencia,Aprobado
T0253,2025-07-29,E028,P089,40015003,Suministro de medicamentos,Transferencia,Aprobado
T0254,2025-08-23,E026,P101,23631335,Compra de kits quirúrgicos,Transferencia,Aprobado
T0255,2024-04-14,E018,P162,20139674,Mantenimiento de equipos,Transferencia,Aprobado
T0256,2025-01-26,E048,P003,32715032,Mantenimiento de equipos,Transferencia,Aprobado
T0257,2025-01-29,E048,P003,32715032,REFACTURA: Mantenimiento de equipos,Transferencia,Aprobado
T0258,2024-04-30,E079,P127,32363905,Mantenimiento de equipos,Transferencia,Aprobado
T0259,2024-10-20,E034,P007,25377881,Suministro de medicamentos,Transferencia,Aprobado
T0260,2025-05-18,E072,P095,25366689,Dotación hospitalaria,Transferencia,Aprobado
T0261,2025-02-20,E032,P080,46008168,Compra de kits quirúrgicos,Transferencia,En Revisión
T0262,2024-08-12,E054,P071,29939816,Compra de kits quirúrgicos,Transferencia,En Revisión
T0263,2024-12-03,E073,P063,43753265,Compra de kits quirúrgicos,Transferencia,Aprobado
T0264,2024-06-02,E003,P191,8813879,Suministro de medicamentos,Transferencia,Aprobado
T0265,2024-06-04,E003,P191,8813879,REFACTURA: Suministro de medicamentos,Transferencia,Aprobado
T0266,2025-01-31,E048,P100,265081180,Compra de kits quirúrgicos,Transferencia,En Revisión
T0267,2024-08-22,E059,P178,28532137,Dotación hospitalaria,Transferencia,Aprobado
T0268,2024-08-23,E059,P178,28532137,REFACTURA: Dotación hospitalaria,Transferencia,Aprobado
T0269,2025-09-28,E002,P144,30797798,Suministro de medicamentos,Transferencia,Aprobado
T0270,2025-10-22,E043,P030,15851405,Dotación hospitalaria,Transferencia,Aprobado
T0271,2025-11-28,E010,P120,29285738,Mantenimiento de equipos,Transferencia,Aprobado
T0272,2025-08-11,E076,P005,34688103,Suministro de medicamentos,Transferencia,Aprobado
T0273,2024-10-20,E074,P071,5591005,Compra de kits quirúrgicos,Transferencia,Aprobado
T0274,2025-05-14,E024,P127,6394277,Dotación hospitalaria,Transferencia,Aprobado
T0275,2025-10-17,E063,P148,5006853,Suministro de medicamentos,Transferencia,Aprobado
T0276,2024-02-29,E001,P102,9905361,Mantenimiento de equipos,Transferencia,Aprobado
T0277,2024-05-04,E016,P060,14136737,Dotación hospitalaria,Transferencia,Aprobado
T0278,2024-12-15,E057,P117,13724069,Mantenimiento de equipos,Transferencia,Aprobado
T0279,2025-11-29,E043,P138,15930621,Compra de kits quirúrgicos,Transferencia,Aprobado
T0280,2024-07-05,E063,P130,9321899,Dotación hospitalaria,Transferencia,Aprobado
T0281,2024-11-06,E012,P132,15843999,Dotación hospitalaria,Transferencia,Aprobado
T0282,2024-03-04,E041,P079,41517557,Mantenimiento de equipos,Transferencia,Aprobado
T0283,2025-08-26,E003,P099,18722834,Suministro de medicamentos,Transferencia,Aprobado
T0284,2024-01-27,E023,P150,11464663,Dotación hospitalaria,Transferencia,Aprobado
T0285,2025-11-22,E076,P061,31988938,Mantenimiento de equipos,Transferencia,Aprobado
T0286,2025-09-30,E055,P032,26758574,Dotación hospitalaria,Transferencia,Aprobado
T0287,2024-02-29,E030,P115,152799216,Dotación hospitalaria,Transferencia,En Revisión
T0288,2024-03-02,E030,P115,152799216,REFACTURA: Dotación hospitalaria,Transferencia,Aprobado
T0289,2024-02-16,E035,P146,25766141,Suministro de medicamentos,Transferencia,Aprobado
T0290,2024-09-05,E034,P117,56141097,Mantenimiento de equipos,Transferencia,En Revisión
T0291,2025-10-06,E072,P071,42162120,Mantenimiento de equipos,Transferencia,En Revisión
T0292,2024-12-01,E016,P065,12579013,Mantenimiento de equipos,Transferencia,Aprobado
T0293,2025-01-07,E034,P058,27204339,Compra de kits quirúrgicos,Transferencia,Aprobado
T0294,2025-01-08,E034,P058,27204339,REFACTURA: Compra de kits quirúrgicos,Transferencia,Aprobado
T0295,2025-05-03,E037,P144,26345920,Dotación hospitalaria,Transferencia,Aprobado
T0296,2024-04-01,E038,P047,19472456,Compra de kits quirúrgicos,Transferencia,Aprobado
T0297,2025-01-28,E018,P068,66526590,Suministro de medicamentos,Transferencia,En Revisión
T0298,2024-06-02,E046,P106,15381207,Compra de kits quirúrgicos,Transferencia,Aprobado
T0299,2024-04-10,E042,P069,15721733,Suministro de medicamentos,Transferencia,Aprobado
T0300,2024-03-08,E017,P072,16194336,Mantenimiento de equipos,Transferencia,Aprobado
T0301,2025-05-02,E066,P120,8776411,Mantenimiento de equipos,Transferencia,Aprobado
T0302,2025-02-02,E072,P057,7281496,Mantenimiento de equipos,Transferencia,Aprobado
T0303,2025-01-04,E021,P109,30569991,Mantenimiento de equipos,Transferencia,Aprobado
T0304,2025-01-06,E021,P109,30569991,REFACTURA: Mantenimiento de equipos,Transferencia,Aprobado
T0305,2025-09-28,E025,P134,22688242,Suministro de medicamentos,Transferencia,Aprobado
T0306,2024-09-11,E008,P152,6833268,Dotación hospitalaria,Transferencia,Aprobado
T0307,2025-11-12,E050,P165,13593623,Suministro de medicamentos,Transferencia,Aprobado
T0308,2025-11-11,E070,P121,19795297,Suministro de medicamentos,Transferencia,Aprobado
T0309,2025-01-13,E015,P162,32096414,Mantenimiento de equipos,Transferencia,Aprobado
